dataset,model,neighbours,weights,tasks_description,accuracy,precision,recall,f1,roc_auc,roc_auc_ovr
3902,knn,5,distance,disbalanced_binary_tasks,0.8971280113367974,0.6361921850079744,0.3931372549019608,0.4788814616400824,0.8604498570261437,0.8604498570261437
3903,knn,5,distance,disbalanced_binary_tasks,0.8906132614731339,0.45849428349428345,0.21875,0.2888236992614804,0.7734780268490375,0.7734780268490375
3904,knn,5,distance,disbalanced_binary_tasks,0.7550781883001134,0.3293031701629852,0.25927104491085534,0.28897847057211934,0.6203817450535706,0.6203817450535706
3913,knn,5,distance,disbalanced_binary_tasks,0.8004354136429607,0.5371428571428571,0.46818181818181814,0.4749694515487355,0.7505057544081934,0.7505057544081934
3917,knn,5,distance,disbalanced_binary_tasks,0.8065718799368089,0.36358085733657813,0.24829545454545454,0.2849497698329348,0.6392161990487385,0.6392161990487385
3918,knn,5,distance,disbalanced_binary_tasks,0.9242833742833744,0.4621428571428572,0.2446428571428571,0.30637806637806636,0.7020464365731356,0.7020464365731356
7592,knn,5,distance,disbalanced_binary_tasks,0.8277712866863327,0.8751846576917137,0.9023011617580374,0.8885263858638055,0.8544450521169843,0.8544450521169843
9952,knn,5,distance,disbalanced_binary_tasks,0.8987803792702129,0.8564768295492857,0.7881219648117189,0.8203727868950932,0.9444609017097717,0.9444609017097717
9971,knn,5,distance,disbalanced_binary_tasks,0.6448275862068965,0.37234671125975477,0.3003676470588236,0.32562130151396007,0.6298615025278403,0.6298615025278403
9977,knn,5,distance,disbalanced_binary_tasks,0.930275226500085,0.9530555154309148,0.949962713801962,0.9511921186214733,0.9646643141647562,0.9646643141647562
9978,knn,5,distance,disbalanced_binary_tasks,0.9147365472596558,0.38108793098154803,0.14375,0.19619707811469825,0.7394768508669289,0.7394768508669289
10101,knn,5,distance,disbalanced_binary_tasks,0.6686126126126126,0.23311157796451915,0.24477124183006532,0.1989427271883412,0.5062492833390666,0.5062492833390666
6,knn,5,distance,multiclass_tasks,0.9542499999999998,,,,,0.9961697002693862
11,knn,5,distance,multiclass_tasks,0.732821300563236,,,,,0.7674622527336844
12,knn,5,distance,multiclass_tasks,0.9694999999999998,,,,,0.9931277777777778
14,knn,5,distance,multiclass_tasks,0.8035,,,,,0.9606652777777777
16,knn,5,distance,multiclass_tasks,0.9640000000000001,,,,,0.9936152777777778
18,knn,5,distance,multiclass_tasks,0.692,,,,,0.8942152777777777
22,knn,5,distance,multiclass_tasks,0.7859999999999999,,,,,0.9583027777777777
23,knn,5,distance,multiclass_tasks,0.47454954954954953,,,,,0.6253056567160098
28,knn,5,distance,multiclass_tasks,0.9741992882562277,,,,,0.9963886400282146
32,knn,5,distance,multiclass_tasks,0.9926309868475475,,,,,0.9986025249931301
45,knn,5,distance,multiclass_tasks,0.768025078369906,,,,,0.9065835440605772
53,knn,5,distance,multiclass_tasks,0.7175630252100841,,,,,0.9032013169112553
2074,knn,5,distance,multiclass_tasks,0.9082426127527217,,,,,0.9814495128005098
2079,knn,5,distance,multiclass_tasks,0.38648648648648654,,,,,0.7061694367979652
3022,knn,5,distance,multiclass_tasks,0.6535353535353535,,,,,0.8944612794612794
3481,knn,5,distance,multiclass_tasks,0.9152239886771337,,,,,0.9903788977030776
3549,knn,5,distance,multiclass_tasks,0.994075630252101,,,,,0.9986418127938872
3560,knn,5,distance,multiclass_tasks,0.20716772151898732,,,,,0.5184914578726867
3573,knn,5,distance,multiclass_tasks,0.9467428571428572,,,,,0.990250039689578
9960,knn,5,distance,multiclass_tasks,0.7762469334946399,,,,,0.9085805368882234
9964,knn,5,distance,multiclass_tasks,0.9133569182389936,,,,,0.9872431476158974
9981,knn,5,distance,multiclass_tasks,0.875,,,,,0.9754243827160494
9985,knn,5,distance,multiclass_tasks,0.5523226148069702,,,,,0.7595752786308643
3,knn,7,uniform,balanced_binary_tasks,0.7637891849529781,0.7758064326580973,0.7505718954248366,0.750160414145627,0.8599937988173751,0.8599937988173751
15,knn,7,uniform,balanced_binary_tasks,0.9671428571428571,0.9534070711896799,0.9543333333333333,0.9527090039602264,0.9873205314009661,0.9873205314009661
29,knn,7,uniform,balanced_binary_tasks,0.8376811594202899,0.8395958914888434,0.8724696356275304,0.8482147202719975,0.8931467937834661,0.8931467937834661
31,knn,7,uniform,balanced_binary_tasks,0.751,0.6554449330339424,0.36999999999999994,0.4710005625495973,0.7467619047619047,0.7467619047619047
37,knn,7,uniform,balanced_binary_tasks,0.744771018455229,0.6743871068544982,0.5484330484330483,0.6015518300045481,0.7876310541310543,0.7876310541310543
43,knn,7,uniform,balanced_binary_tasks,0.8965486183155711,0.8909567897257767,0.8417127071823204,0.8648451043296754,0.9436194913744153,0.9436194913744153
49,knn,7,uniform,balanced_binary_tasks,0.7755811403508772,0.7809185732444172,0.910931899641577,0.83850974225425,0.818375416311849,0.818375416311849
219,knn,7,uniform,balanced_binary_tasks,0.7108892589112992,0.7626948820181354,0.7619935473395131,0.7479925762595141,0.770248680940161,0.770248680940161
9910,knn,7,uniform,balanced_binary_tasks,0.7499418439716312,0.7556772573385296,0.7964309861875785,0.7753256671107944,0.8197151556613491,0.8197151556613491
9946,knn,7,uniform,balanced_binary_tasks,0.9666353383458647,0.9856271112564018,0.9244588744588744,0.9531284433723457,0.9880375180375178,0.9880375180375178
9957,knn,7,uniform,balanced_binary_tasks,0.8397035040431268,0.7499167930475684,0.8111111111111111,0.7735920072164233,0.8937681159420288,0.8937681159420288
9976,knn,7,uniform,balanced_binary_tasks,0.558076923076923,0.5484340344337282,0.66,0.598324755313205,0.5770029585798817,0.5770029585798817
10093,knn,7,uniform,balanced_binary_tasks,0.9985401459854014,0.9967741935483871,1.0,0.9983739837398374,0.9993421052631579,0.9993421052631579
14952,knn,7,uniform,balanced_binary_tasks,0.9340519421010859,0.9334772387220003,0.9494871185724844,0.9413577819722153,0.9803702751889597,0.9803702751889597
3021,knn,7,uniform,disbalanced_binary_tasks,0.9605020139502898,0.8875124875124876,0.41594202898550725,0.5579194778983803,0.9054911320250991,0.9054911320250991
3902,knn,7,uniform,disbalanced_binary_tasks,0.8909494567784602,0.6169047619047618,0.2800653594771242,0.3785744690092516,0.8607192095588235,0.8607192095588235
3903,knn,7,uniform,disbalanced_binary_tasks,0.8841989220970113,0.2683333333333333,0.09375,0.13556461082776872,0.7954511778115501,0.7954511778115501
3904,knn,7,uniform,disbalanced_binary_tasks,0.7777738953708205,0.36625526388846186,0.2122545700744753,0.26740732712866555,0.6366787450837468,0.6366787450837468
3913,knn,7,uniform,disbalanced_binary_tasks,0.8158200290275761,0.5654437229437229,0.4136363636363637,0.45924476967820616,0.7728732446415373,0.7728732446415373
3917,knn,7,uniform,disbalanced_binary_tasks,0.8075174904084857,0.3324447061652944,0.19318181818181818,0.23620854844814598,0.663823503239824,0.663823503239824
3918,knn,7,uniform,disbalanced_binary_tasks,0.9251842751842754,0.38166666666666665,0.16785714285714284,0.22952602952602952,0.7105609196628614,0.7105609196628614
7592,knn,7,uniform,disbalanced_binary_tasks,0.8355106474297876,0.8764000078689709,0.9124750198117486,0.89406789687827,0.8686221674779974,0.8686221674779974
